Reference,Age (Ma),Age old,Age young,CO2 (ppm),type,CO2 low,CO2 high,CO2 range,Distribution,Proxy type
"Cerling, 1992",106.8,113.0,100.5,600,mean,300,1200,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),Paleosols
"Koch et al., 1992",55.5,56.0,55.0,328,mean,164,656,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),Paleosols
"Koch et al., 1992",56.5,57.0,56.0,428,mean,214,856,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),Paleosols
"Kenny & Neet, 1993",303.0,307.0,298.9,588,mean,294,1176,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),Paleosols
"Muchez et al., 1993",344.9,346.7,343.0,524,mean,262,1048,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),Paleosols
"Quade et al., 1994 (reported in Ekart et al., 1999)",7.7,7.8,7.5,292,mean,146,584,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),Paleosols
"Quade et al., 1994 (reported in Ekart et al., 1999)",10.6,11.2,9.9,448,mean,224,896,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),Paleosols
"Quade et al., 1994 (reported in Ekart et al., 1999)",7.1,8.9,5.3,468,mean,234,936,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),Paleosols
"Sinha & Stott, 1994",55.5,56.0,55.0,100,mean,50,200,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),Paleosols
"Sinha & Stott, 1994",56.5,57.0,56.0,100,mean,50,200,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),Paleosols
"Andrews et al., 1995",69.1,72.1,66.0,60,mean,30,120,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),Paleosols
"Quade & Cerling, 1995 (reported in Ekart et al., 1999)",7.0,9.0,5.0,148,mean,74,296,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),Paleosols
"Quade & Cerling, 1995 (reported in Ekart et al., 1999)",9.0,11.0,7.0,204,mean,102,408,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),Paleosols
"Quade & Cerling, 1995 (reported in Ekart et al., 1999)",13.0,15.0,11.0,296,mean,148,592,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),Paleosols
"Quade & Cerling, 1995 (reported in Ekart et al., 1999)",13.0,15.0,11.0,176,mean,88,352,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),Paleosols
"Mora et al., 1996",285.6,298.9,272.3,70,mean,35,140,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),Paleosols
"Mora et al., 1996",303.0,307.0,298.9,250,mean,125,500,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),Paleosols
"Mora et al., 1996",327.1,330.9,323.2,290,mean,145,580,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),Paleosols
"Mora et al., 1996",327.1,330.9,323.2,210,mean,105,420,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),Paleosols
"Mora et al., 1996",332.6,346.7,318.5,320,mean,160,640,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),Paleosols
"Mora et al., 1996",338.8,346.7,330.9,190,mean,95,380,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),Paleosols
"Mora et al., 1996",365.6,372.2,358.9,395,mean,198,790,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),Paleosols
"Mora et al., 1996",365.6,372.2,358.9,600,mean,300,1200,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),Paleosols
"Mora et al., 1996",423.3,427.4,419.2,1680,mean,840,3360,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),Paleosols
"Ekart et al., 1999",5.0,,,324,mean,162,648,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),Paleosols
"Ekart et al., 1999",21.0,,,312,mean,156,624,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),Paleosols
"Ekart et al., 1999",25.6,28.1,23.0,588,mean,294,1176,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),Paleosols
"Ekart et al., 1999",45.0,,,780,mean,390,1560,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),Paleosols
"Ekart et al., 1999",60.7,62.2,59.2,0,mean,0,0,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),Paleosols
"Ekart et al., 1999",69.1,72.1,66.0,328,mean,164,656,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),Paleosols
"Ekart et al., 1999",69.1,72.1,66.0,172,mean,86,344,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),Paleosols
"Ekart et al., 1999",69.1,72.1,66.0,252,mean,126,504,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),Paleosols
"Ekart et al., 1999",77.9,83.6,72.1,1180,mean,590,2360,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),Paleosols
"Ekart et al., 1999",77.9,83.6,72.1,504,mean,252,1008,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),Paleosols
"Ekart et al., 1999",119.7,126.3,113.0,904,mean,452,1808,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),Paleosols
"Ekart et al., 1999",119.7,126.3,113.0,1084,mean,542,2168,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),Paleosols
"Ekart et al., 1999",119.7,126.3,113.0,1076,mean,538,2152,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),Paleosols
"Ekart et al., 1999",119.7,126.3,113.0,592,mean,296,1184,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),Paleosols
"Ekart et al., 1999",154.7,157.3,152.1,1272,mean,636,2544,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),Paleosols
"Ekart et al., 1999",187.7,201.3,174.1,1824,mean,912,3648,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),Paleosols
"Ekart et al., 1999",172.2,174.1,170.3,768,mean,384,1536,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),Paleosols
"Ekart et al., 1999",223.3,237.0,209.5,660,mean,330,1320,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),Paleosols
"Ekart et al., 1999",223.3,237.0,209.5,732,mean,366,1464,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),Paleosols
"Ekart et al., 1999",223.3,237.0,209.5,1140,mean,570,2280,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),Paleosols
"Ekart et al., 1999",242.1,247.1,237.0,244,mean,122,488,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),Paleosols
"Ekart et al., 1999",259.4,259.8,259.0,400,mean,200,800,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),Paleosols
"Ekart et al., 1999",290.5,298.9,282.0,0,mean,0,0,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),Paleosols
"Ekart et al., 1999",303.0,307.0,298.9,608,mean,304,1216,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),Paleosols
"Ekart et al., 1999",344.8,347.0,342.5,824,mean,412,1648,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),Paleosols
"Ekart et al., 1999",388.0,393.3,382.7,624,mean,312,1248,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),Paleosols
"Lee, 1999",130.1,133.9,126.3,1150,mean,575,2300,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),Paleosols
"Lee & Hisada, 1999  (updated by Hong and Lee, 2012)",134.3,136.5,132.0,653,mean,327,1307,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),Paleosols
"Driese et al., 2000",365.6,372.2,358.9,1140,mean,570,2280,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),Paleosols
"Driese et al., 2000",365.6,372.2,358.9,1260,mean,630,2520,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),Paleosols
"Driese et al., 2000",402.6,407.6,397.5,1320,mean,660,2640,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),Paleosols
"Driese et al., 2000",421.1,423.0,419.2,1440,mean,720,2880,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),Paleosols
"Cox et al., 2001",377.5,382.7,372.2,1120,mean,560,2240,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),Paleosols
"Cox et al., 2001",385.2,387.7,382.7,1560,mean,780,3120,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),Paleosols
"Royer et al., 2001b",54.2,54.5,53.9,814,mean,407,1627,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),Paleosols
"Royer et al., 2001b",54.9,55.2,54.6,231,mean,115,462,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),Paleosols
"Royer et al., 2001b",56.2,56.5,55.9,461,mean,230,922,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),Paleosols
"Royer et al., 2001b",56.5,56.8,56.2,487,mean,243,974,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),Paleosols
"Royer et al., 2001b",56.7,57.0,56.4,579,mean,290,1158,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),Paleosols
"Royer et al., 2001b",57.3,57.6,57.0,816,mean,408,1633,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),Paleosols
"Royer et al., 2001b",57.7,58.0,57.4,474,mean,237,948,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),Paleosols
"Tanner et al., 2001",200.3,201.3,199.3,992,mean,496,1984,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),Paleosols
"Tanner et al., 2001",223.3,237.0,209.5,900,mean,450,1800,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),Paleosols
"Robinson et al., 2002",130.1,130.8,129.4,112,mean,56,224,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),Paleosols
"Nordt et al., 2002",64.8,65.0,64.7,400,mean,200,800,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),Paleosols
"Nordt et al., 2002",65.3,65.7,65.0,340,mean,170,680,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),Paleosols
"Nordt et al., 2002",65.9,66.3,65.5,300,mean,150,600,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),Paleosols
"Nordt et al., 2002",67.2,68.1,66.3,560,mean,280,1120,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),Paleosols
"Nordt et al., 2002",67.2,68.1,66.3,300,mean,150,600,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),Paleosols
"Nordt et al., 2002",77.1,80.0,74.3,480,mean,240,960,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),Paleosols
"Nordt et al., 2003",65.2,66.2,64.2,178,mean,89,356,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),Paleosols
"Nordt et al., 2003",65.2,66.2,64.2,163,mean,81,326,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),Paleosols
"Nordt et al., 2003",65.4,66.4,64.4,88,mean,44,176,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),Paleosols
"Nordt et al., 2003",65.6,66.6,64.6,111,mean,56,222,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),Paleosols
"Nordt et al., 2003",65.8,66.8,64.8,178,mean,89,355,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),Paleosols
"Nordt et al., 2003",65.9,66.9,64.9,54,mean,27,108,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),Paleosols
"Nordt et al., 2003",66.1,67.1,65.1,183,mean,92,366,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),Paleosols
"Nordt et al., 2003",66.2,67.2,65.2,277,mean,139,555,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),Paleosols
